Day,cases,deaths,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000
1,823,12,1.11983983
2,887,16,1.38513702
3,1766,23,1.91512364
4,2988,42,2.81281885
5,4835,0,4.25964583
6,5374,110,5.86084964
7,7123,80,7.99659843
8,8459,131,10.53044497
9,11236,119,13.88419052
10,8789,211,16.47273751
11,13963,249,20.62875636
12,16797,246,25.62655441
13,18695,411,31.15251572
14,19979,484,36.98783848
15,18360,318,42.31718205
16,21595,661,48.61016527
17,24998,909,55.67017039
18,27103,1059,62.99851163
19,28819,915,70.28704309
20,32425,1104,78.50760949
21,34272,1344,86.75795725
22,25398,1146,91.90557376
23,30561,1342,97.77827516
24,30613,1906,104.4104012
25,33323,1922,110.2937388
26,33901,1873,115.4914974
27,35527,2087,120.6065975
28,28391,1831,123.162932
29,27620,1500,125.9769664
30,25023,1541,127.0187062
31,26922,2408,127.6033932
32,30148,4928,128.5287426
33,31667,2299,129.3942253
34,30833,3770,128.9104302
35,32922,1856,128.5001768
36,24601,1772,128.2579753
37,28065,1857,127.4994624
38,37289,2524,129.5282414
39,17588,1721,124.7465101
40,26543,3179,122.5104772
41,21352,1054,118.2028165
42,48529,2172,124.3225816
43,26857,1687,124.0907125
44,22541,1369,123.336454
45,24132,2110,122.488597
46,27326,2611,121.6310154
47,29917,2040,121.0992055
48,33955,2062,122.0479545
49,29288,1317,120.9436131
50,24972,1297,121.0563568
51,22593,1252,119.393463
52,23841,2144,115.3067314
53,24128,2353,117.2941812
54,28369,2239,117.8490869
55,26957,1510,119.5523982
56,25612,1614,112.5881189
57,20258,734,110.5827395
58,18117,1156,109.2383239
59,22048,1703,108.6050143
60,20782,1746,106.6163489
61,27143,1773,105.7733541
62,25508,1662,103.2063834
63,24487,1186,101.7474008
64,18873,808,99.89396712
65,21841,791,99.66544079
66,19970,1568,98.48907716
67,23285,1518,98.2328967
68,25434,1263,97.34097543
69,24147,1305,96.48704058
70,21236,1080,95.15721179
71,20568,633,95.25141813
72,19064,500,95.53920329
73,18910,696,94.58559206
74,18721,1526,93.95927187
75,21817,1175,92.34074625
76,25337,1219,92.28878082
77,23297,945,91.92715005
78,19807,602,92.21098462
79,21086,764,91.98154661
80,20544,1034,92.15598027
81,19699,994,91.0662257
82,21140,1036,89.761316
83,25178,932,90.07462804
84,22223,659,90.37456886
85,22302,712,90.90151655
86,18822,493,90.82797483
87,18665,999,90.75352144
88,20614,918,91.32878787
89,22883,896,91.65273611
90,25639,849,91.74451131
91,25540,767,92.42613973
92,19543,296,92.3459124
93,19957,395,92.00281901
94,23705,836,92.96341974
95,25559,754,94.74422337
96,27762,717,96.75659226
97,29909,678,98.19430249
98,34158,607,101.8212464
99,25793,256,102.8821313
100,31390,427,106.7014385
101,34720,826,111.580415
102,34339,751,115.7513245
103,40949,2437,121.2414267
104,45527,623,127.2852189
105,42486,500,132.4349627
106,38673,265,138.2484053
107,41556,336,144.8121557
108,43880,1270,150.9431648
109,52048,652,158.9929442
110,53399,678,166.7838082
111,54442,694,174.239176
112,45221,242,177.6011267
113,49093,271,184.6817964
114,49990,359,190.3341765
115,57473,1174,197.2486177
116,58906,829,204.7143178
117,63004,982,211.4166428
118,66625,806,217.8281436
119,63051,717,224.0776704
120,57258,391,229.7254921
121,58114,400,234.757326
122,68518,861,242.2446025
123,67717,953,247.0062769
